Address,Opening,Closing,Latitude,Longitude
"264 Alphonse St, Rochester, NY",5132.0,25000.0,43.176541,-77.5971316
"535 Ames st, Rochester, NY",20000.0,,43.1611255,-77.6442224
"96 angle , Rochester, NY",5200.0,18000.0,43.1660855,-77.6373956
"172 arbutus, Rochester, NY",,,43.1793575,-77.5767013
"6 Ariel , Rochester, NY",27634.0,,43.1766223,-77.6224738
"381 arnett, Rochester, NY",1800.0,2500.0,43.143534,-77.6292054
"21 Augustine , Rochester, NY",12952.0,95000.0,43.1860479,-77.6315598
"426 Augustine , Rochester, NY",6000.0,90000.0,43.1863629,-77.6429804
"23 aurora st, Rochester, NY",3451.0,45000.0,43.1782315,-77.5850016
"124 aurora , Rochester, NY",1200.0,55000.0,,
"208-210 ave a, Rochester, NY",19000.0,70000.0,43.17780936472146,-77.61784186314244
"71 ave a, Rochester, NY",12396.0,,43.1775518,-77.6228528
"264 ave b, Rochester, NY",3300.0,,43.1788177,-77.619093
"304 ave d(2 fam), Rochester, NY",27000.0,55000.0,43.157285,-77.615214
"441 ave d, Rochester, NY",9715.0,30000.0,43.1803067,-77.6119006
"808 ave d, Rochester, NY",17205.0,75000.0,43.1809414,-77.601355
"804 ave d, Rochester, NY",11105.0,60000.0,43.1809556,-77.6015086
"45 Bartlett , Rochester, NY",5000.0,40000.0,43.1426182,-77.6220231
"49 Bartlett , Rochester, NY",9427.0,60000.0,43.1426367,-77.6223263
"57 Bartlett (vacant) , Rochester, NY",1640.0,3100.0,,
"103 Barton , Rochester, NY",5983.0,85000.0,43.1332049,-77.6330213
"48 Barton (vacant), Rochester, NY",35000.0,,,
"833 bay st , Rochester, NY",6900.0,85000.0,43.1710741,-77.570984
"611 bay st, Rochester, NY",6186.0,55000.0,43.1709415,-77.5771943
"425 beach ave, Rochester, NY",5350.0,60000.0,43.2611453,-77.6157711
"201 Belknap st, Rochester, NY",8538.0,85000.0,43.1619944,-77.6620242
"187 belknap (vacant), Rochester, NY",289.0,2300.0,,
"123 Braddock (parking lot), Rochester, NY",7262.0,95000.0,,
"18 Brooklyn , Rochester, NY",3000.0,60000.0,43.1780314,-77.6368781
"312 brooks ave, Rochester, NY",9700.0,155000.0,43.131183,-77.6436496
"249 burrows , Rochester, NY",22177.0,55000.0,43.1698235,-77.649062
"21 Cameron , Rochester, NY",18480.0,,43.1651688,-77.6398985
"281 Campbell , Rochester, NY",58820.0,,,
"7 Carl (vacant), Rochester, NY",10486.0,,,
"455 child , Rochester, NY",13472.0,45000.0,43.1612176,-77.6391115
